State,Population,Increase,Area(Km2),Density,Sex-Ratio,Literacy
Maharashtra,112374333,15.99%,307713,365,929,82.34
Bihar,104099452,25.42%,94163,"1106",918,61.8
West Bengal,91276111,13.84%,88752,1028,950,76.26
Andhra Pradesh,84580777,10.98%,275045,308,993,67.02
Madhya Pradesh,72626809,20.35%,308252,236,931,69.32
Tamil Nadu,72147030,15.61%,130060,555,996,80.09
Rajasthan,68548437,21.31%,342239",200,928,66.11
Karnataka,61095297,15.60%,191871,319,973,75.36
Gujarat,60439692,19.28%,96244,308,919,78.03
Orissa,41974218,14.05%,155707,270,979,72.87
Kerala,33406061,4.91%,38852,860,1084,94
Jharkhand,32988134,22.42%,79716,414,948,66.41
Assam,31205576,17.07%,78438,398,958,72.19
Punjab,27743338,13.89%,50346,551,895,75.84
Chhattisgarh,25545198,22.61%,135192,189,991,70.28
Haryana,2251462,19.90%,44212,573,879,75.55
Delhi,16787941,21.21%,"1483",11320,868,86.21
Jammu and Kashmir,12541302,23.64%,222236,56,889,67.16
Uttarakhand,10086292,18.81%,53483,189,963,78.82
Himachal Pradesh,6864602,12.94%,55678,123,972,82.8
Tripura,3673917,14.84%,10486,350,960,87.22
Meghalaya,2966889,27.95%,22429",132,989,74.43
Manipur,2855794,24.50%,22327,128,985,76.94
Nagaland,1978502,-0.58%,16579,119,931,79.55
Goa,1458545,8.23%,3702,394,973,88.7
Arunachal Pradesh,1383727,26.03%,83743,17,938,65.38
Puducherry,1247953,28.08%,490,2547,1037,85.85
Mizoram,107207,23.48%,21081,52,976,91.33
